O_10,O_100,O_200,O_300,O_400,O_500,N_10,N_100,N_200,N_300,N_400,N_500,P_10,P_100,P_200,P_300,P_400,P_500,Si_10,Si_100,Si_200,Si_300,Si_400,Si_500,Sal_10,Sal_100,Sal_200,Sal_300,Sal_400,Sal_500,T_10,T_100,T_200,T_300,T_400,T_500,Den_10,Den_100,Den_200,Den_500,Den_1000,Depth_27.1,Depth_27.3,Depth_27.6,Depth_27.9,MLD_Sum,MLD_Win
322.85683,317.57528,299.4087,253.55269,222.45751,198.38528,23.74925,24.97642,28.34416,31.30933,33.23803,34.50574,1.50454,1.60229,1.90479,2.12522,2.31105,2.2644,8.33695,13.25664,28.40807,41.41767,52.57921,57.01523,33.84503,33.86984,33.97277,34.14011,34.2643,34.37679,4.1966,3.27621,1.85809,2.08404,2.25831,2.29745,26.956162,27.089772,27.329964,27.659184,27.92262,96.61542,180.55687,419.14399,854.69175,59.864,14.976
289.45463,285.79271,262.38772,258.0146,253.42381,234.57112,16.38813,18.24367,23.56401,25.15035,27.60586,29.59384,0.99695,1.13568,1.31442,1.48118,1.64028,1.77404,1.92233,1.92636,6.99172,12.81769,17.75084,23.33216,34.00097,34.22606,34.41366,34.41337,34.38633,34.33641,9.10579,8.76705,8.40512,7.55751,6.75937,5.63417,26.485943,26.724808,26.961897,27.287647,27.63408,292.19032,507.86055,906.87959,1501.603,71.029,91.268
298.30291,308.49401,286.59001,266.36858,252.28156,241.2527,17.95451,21.09967,23.44591,26.36906,28.15847,29.54529,1.21352,1.33417,1.52694,1.6921,1.8295,1.96418,3.61334,6.32866,13.15213,16.66085,21.63612,27.68245,33.81809,33.87052,33.97655,34.12457,34.16805,34.19385,7.69287,5.78637,4.60092,4.31885,3.84454,3.36871,26.485707,26.855911,27.132275,27.451819,27.76159,179.62934,313.29924,713.63021,1305.5119,52.24,11.663
295.81535,297.53918,285.1935,261.80596,239.13987,229.54345,17.64073,20.62429,25.73273,27.57833,29.95871,30.91844,1.3095,1.48471,1.67756,1.84074,1.96151,2.16674,4.74301,8.54958,16.81983,22.20748,29.52687,38.68358,33.78142,33.85255,33.98177,34.12303,34.20495,34.26525,6.70845,4.55698,3.32313,3.15561,2.85068,2.7446,26.533933,26.955188,27.207817,27.516651,27.82367,146.34323,254.07712,599.11097,1147.648,44.33,24.912
291.8105,293.05531,282.10033,257.51649,234.45179,223.27823,15.08546,19.89751,25.57812,27.78746,31.04304,31.73008,1.31919,1.59726,1.73816,1.92933,2.0332,2.24121,3.91195,8.53839,16.97204,23.1546,30.94186,39.32498,33.73956,33.83316,33.94984,34.10971,34.19087,34.27841,7.11129,4.50281,3.08548,3.01446,2.74164,2.63973,26.435514,26.959277,27.212996,27.514519,27.85962,145.85547,264.12921,598.28094,1043.8367,34.305,27.325
291.81569,293.05842,282.10551,257.51931,234.44973,223.27542,15.0875,19.89874,25.5791,27.78799,31.04313,31.73031,1.31926,1.59731,1.73819,1.92933,2.03322,2.24122,3.91263,8.53902,16.97341,23.15618,30.94444,39.32798,33.73959,33.83317,33.94986,34.10972,34.19088,34.27842,7.11058,4.50276,3.08562,3.01446,2.74161,2.6397,26.435626,26.959302,27.213013,27.51456,27.85965,145.84425,264.10757,598.22119,1043.801,34.317,27.342
275.94472,272.14973,269.10648,254.42823,238.84429,229.56181,10.52865,14.14146,17.85113,22.60862,24.13927,26.19475,1.02037,1.01175,1.15455,1.43327,1.48755,1.78199,1.80959,3.72915,6.93687,11.47535,15.23097,18.74699,34.32579,34.65705,34.64776,34.63162,34.55915,34.50263,12.09809,10.85433,9.59745,8.76101,7.82378,7.04305,26.190725,26.575735,26.843219,27.187311,27.55114,386.34489,625.58883,1057.4394,1644.7998,49.671,73.163
295.22005,282.51198,258.8043,240.28309,227.54073,223.02606,14.33302,16.19636,20.11163,23.41139,25.74451,28.99975,1.37789,1.37568,1.2865,1.60063,1.75046,1.87842,2.92586,6.16363,13.46368,16.68207,23.76467,29.79602,33.78167,33.93706,34.06512,34.18075,34.2346,34.26764,8.13681,6.49581,5.30178,5.03826,4.59043,3.98047,26.505392,26.869591,27.142416,27.411055,27.71177,192.63365,353.57327,741.42517,1366.5335,47.079,42.071
288.77926,273.16251,249.1922,240.22907,237.02845,228.9828,14.26413,16.5106,20.36199,22.85078,25.48286,28.35366,1.12904,1.08988,1.05962,1.28351,1.45579,1.60214,2.40892,3.73825,9.60513,12.66455,17.86127,22.80187,33.79386,33.95188,34.13589,34.20903,34.23227,34.25405,8.61243,7.18634,6.12062,5.89067,5.13147,4.45191,26.41162,26.79004,27.076497,27.347466,27.66769,231.53789,432.69263,824.6791,1461.3543,53.756,58.361
288.9274,273.40892,249.37326,240.34989,237.1265,229.00725,14.31277,16.57415,20.44756,22.9169,25.55214,28.4096,1.12862,1.08989,1.0608,1.28519,1.45761,1.60466,2.41464,3.73482,9.63805,12.74105,17.94721,22.91001,33.79332,33.94793,34.13284,34.207,34.23095,34.2536,8.5901,7.15908,6.08619,5.86025,5.10527,4.43105,26.412693,26.790855,27.077797,27.349245,27.66904,229.8778,430.9165,821.91637,1459.4643,53.878,58.335
