O_10,O_100,O_200,O_300,O_400,O_500,N_10,N_100,N_200,N_300,N_400,N_500,P_10,P_100,P_200,P_300,P_400,P_500,Si_10,Si_100,Si_200,Si_300,Si_400,Si_500,Sal_10,Sal_100,Sal_200,Sal_300,Sal_400,Sal_500,T_10,T_100,T_200,T_300,T_400,T_500,Den_10,Den_100,Den_200,Den_500,Den_1000,Depth_27.1,Depth_27.3,Depth_27.6,Depth_27.9,MLD_Sum,MLD_Win
302.96041,300.29277,291.42407,251.18075,221.99435,210.9485,19.12195,20.52804,24.61746,28.21387,28.69085,30.02905,1.34998,1.56109,1.74615,2.00518,2.06949,2.1435,1.66954,4.75884,16.72731,25.02653,33.9984,52.59122,33.93028,33.96884,34.08668,34.15869,34.21816,34.2794,6.00463,5.01395,3.84382,3.48963,3.15901,2.97542,26.816099,27.006397,27.254077,27.532067,27.83825,123.63155,232.00736,598.78978,1112.9653,45.123,22.808
299.52512,297.52128,280.66764,245.68567,224.53233,202.81323,18.21162,19.43792,26.09822,29.17077,27.30254,28.74882,1.29035,1.51995,1.8025,2.03937,1.99193,2.04114,3.02872,7.03344,20.28573,26.41899,36.8718,57.79019,33.90631,33.9495,34.0496,34.14867,34.24469,34.31783,5.61725,4.12361,2.96359,2.9202,2.88143,2.75748,26.851521,27.091337,27.309107,27.557559,27.83741,103.76838,184.93664,555.34445,1118.1078,66.508,37.956
343.67682,279.53369,250.93169,215.16918,211.37868,206.87098,23.87496,31.17498,31.59033,31.73926,31.52683,31.36522,1.60163,2.16148,2.10547,2.17962,2.13448,2.13593,33.35527,68.5353,77.66518,85.89676,89.29715,93.06095,33.76185,34.35428,34.56995,34.66343,34.69711,34.71339,0.85427,-0.79727,0.41039,1.06853,1.25624,1.25901,27.223291,27.848455,27.976279,28.089234,28.15725,-4.53685,24.41936,55.27146,125.71782,7.749,6.784
340.43964,300.64994,236.9184,202.01041,192.30521,190.57138,24.41161,28.29302,30.04969,32.94038,32.629,31.75069,1.55045,2.09787,2.17693,2.25558,2.20827,2.21732,16.03402,57.19776,70.23634,78.4527,84.05744,87.13679,33.89746,33.99384,34.30827,34.50507,34.59296,34.64932,2.12419,0.83906,1.38231,1.91806,2.02473,2.02893,27.20698,27.569068,27.775128,27.968181,28.06255,,41.20579,109.4999,308.2344,44.451,42.096
322.43876,317.74547,299.53124,252.04252,221.13067,197.7895,23.70426,24.9196,28.4461,31.42303,33.29216,34.46747,1.50685,1.59886,1.90421,2.11612,2.30847,2.26914,8.56226,13.40346,27.88709,40.89416,51.34445,57.00422,33.85152,33.87056,33.96739,34.13605,34.26706,34.37303,4.11642,3.24325,1.82339,2.08417,2.26435,2.30406,26.962395,27.094043,27.330033,27.660438,27.92192,95.2697,180.08287,420.67085,861.13907,63.12,11.636
267.68252,245.27381,233.96374,237.99968,239.43979,232.64441,7.01214,9.46406,11.24551,12.87108,14.86409,17.58411,0.6391,0.70387,0.71189,0.75582,0.89513,0.98301,2.15004,3.22001,4.64174,4.54985,5.19062,6.41281,34.70256,34.98043,35.01177,34.95686,34.86582,34.75696,13.39985,12.27312,11.82341,11.33113,10.63713,9.76927,26.150506,26.638662,26.770873,26.959039,27.40322,638.7337,848.24799,1249.9293,1809.9143,57.058,76.381
282.64557,274.84694,249.9067,249.13259,254.42919,241.10766,13.40244,15.39825,19.39043,21.25742,23.73735,26.06349,0.78241,0.88078,1.01747,1.12625,1.27735,1.43639,1.75391,1.70457,4.49495,7.34379,8.91054,12.84592,34.21067,34.51202,34.6513,34.61355,34.56326,34.45696,10.47321,10.13286,9.98465,9.25518,8.56394,7.23343,26.33851,26.668306,26.839367,27.122108,27.52439,461.03589,680.08076,1088.1968,1672.6112,54.946,74.215
300.29179,293.63084,269.89809,258.80711,234.8901,222.20567,19.11333,21.01005,25.32698,28.0833,30.02299,31.13055,1.38503,1.50336,1.79706,1.92138,2.04681,2.13868,3.68353,6.03036,14.77101,23.53875,31.75601,39.92691,33.84809,33.91945,34.10439,34.19095,34.24549,34.27492,6.57847,6.09553,5.34943,4.64032,4.18032,3.65992,26.738829,26.882916,27.134626,27.458171,27.7824,179.01945,293.32175,689.53659,1233.8292,46.449,120.129
293.36802,288.71875,265.23232,260.02346,245.1256,232.08917,17.13747,18.99634,23.6966,26.02518,28.25155,29.94031,1.21489,1.34147,1.57998,1.72558,1.87119,1.98225,2.1408,3.13537,9.25775,15.71474,22.07179,28.78625,33.96543,34.1145,34.32577,34.32966,34.31643,34.2815,8.19743,7.97697,7.57196,6.70732,5.93286,5.06025,26.599412,26.760036,26.985947,27.324473,27.68486,257.40398,450.93742,861.1446,1411.5152,65.167,100.207
283.56784,279.61545,260.38846,255.3837,249.93104,241.41677,11.4319,13.70216,17.3051,19.11945,21.85363,24.31811,0.8422,0.97676,1.1299,1.22107,1.3856,1.53541,1.28076,1.64222,4.26802,6.91258,8.89295,12.90978,34.33622,34.52642,34.63829,34.62314,34.55388,34.48139,10.55184,9.84397,9.57008,9.13935,8.35442,7.43915,26.365683,26.677897,26.819095,27.059347,27.49015,532.81153,750.46085,1141.2661,1721.3344,39.659,80.334
