O_10,O_100,O_200,O_300,O_400,O_500,N_10,N_100,N_200,N_300,N_400,N_500,P_10,P_100,P_200,P_300,P_400,P_500,Si_10,Si_100,Si_200,Si_300,Si_400,Si_500,Sal_10,Sal_100,Sal_200,Sal_300,Sal_400,Sal_500,T_10,T_100,T_200,T_300,T_400,T_500,Den_10,Den_100,Den_200,Den_500,Den_1000,Depth_27.1,Depth_27.3,Depth_27.6,Depth_27.9,MLD_Sum,MLD_Win
320.5069,315.99206,281.92613,242.59413,215.60803,198.23341,22.60865,25.9882,29.88301,32.27693,33.34144,33.9828,1.50874,1.86531,2.02827,2.22534,2.28615,2.31333,5.90213,20.04914,30.59239,43.63123,50.41108,54.97168,33.88381,33.94801,34.05095,34.20235,34.32865,34.41066,3.81709,2.38935,1.84533,2.34645,2.49472,2.50267,27.050986,27.305434,27.457624,27.692071,27.91247,34.57378,102.05226,358.95728,887.55072,63.98,43.435
312.18754,309.69761,293.51384,261.40742,232.61483,212.57646,21.58159,24.05105,27.71166,30.22455,32.17921,33.40463,1.45963,1.71286,1.87969,2.09109,2.16303,2.23213,4.06582,11.25324,20.20497,31.75767,38.24304,44.68123,33.90121,33.95486,34.00661,34.12464,34.23864,34.3188,4.85686,3.47502,2.60697,2.82275,2.86903,2.79073,26.941788,27.175064,27.33511,27.570406,27.85098,76.89998,158.62054,525.68429,1076.3921,47.532,75.466
282.81595,280.2937,271.04875,271.5962,270.82715,259.91937,12.6176,14.67586,16.90355,21.20093,20.01748,18.10394,0.64024,0.96735,1.0606,1.45377,1.57864,1.51105,2.12461,4.31594,6.55746,8.18501,11.1772,9.69804,34.13148,34.22762,34.28004,34.25831,34.24653,34.26178,9.12676,7.21068,6.63979,6.13087,5.48614,4.99619,26.415398,26.870559,27.010228,27.195699,27.62018,338.83337,617.41833,963.53321,1492.9362,37.515,321.442
245.27004,237.9315,234.09037,228.33535,217.31113,223.37839,0.25043,6.51507,9.16649,13.58899,17.10635,19.40606,0.11721,0.55193,0.73417,0.96733,1.19752,1.33805,1.87567,3.29391,4.13855,5.88532,7.69584,8.72225,35.1195,35.12654,35.05224,34.87088,34.70738,34.59305,17.13314,12.69836,11.809,10.62416,9.52465,8.66951,25.579409,26.615654,26.762528,26.983908,27.2634,726.81041,1049.1139,1400.4781,2036.9844,30.726,100.801
271.46934,260.84237,258.80254,261.39197,259.99479,253.38599,7.63824,10.3293,13.71795,14.75336,15.80635,17.55066,0.6696,0.8303,1.01265,1.07361,1.17678,1.22205,1.84593,2.80595,3.98945,4.2574,4.98565,6.14256,34.57948,34.7164,34.71791,34.65119,34.60086,34.56228,11.65189,10.53565,9.72029,9.187,8.82882,8.46047,26.400162,26.701769,26.882455,26.991151,27.37228,693.62935,940.73418,1301.4345,1856.5073,57.383,95.711
252.23773,236.04144,237.96297,240.89825,244.82072,238.02954,1.68079,7.24427,11.33633,13.18856,15.56755,17.24221,0.28455,0.52902,0.73963,0.87882,1.02371,1.17254,1.0852,1.90017,3.44197,4.16227,5.36973,6.5294,35.18458,35.17703,35.02378,34.86232,34.73074,34.63011,15.3573,12.96952,11.27845,10.21635,9.4328,8.76842,26.028993,26.562308,26.787493,26.983829,27.38383,700.00005,912.3721,1251.0481,1843.4917,33.495,24.403
237.90143,223.26296,224.72049,219.25018,210.19086,212.51299,0.1143,10.30219,9.00339,13.07335,16.40289,17.75893,0.18424,0.44493,0.77541,0.81718,1.03243,1.21545,2.38445,6.18271,5.39069,7.62793,6.12057,10.96463,35.29506,35.26539,35.13756,34.96139,34.78721,34.66481,18.67519,14.32931,12.72168,11.43973,10.10741,9.11231,25.380219,26.353331,26.59474,26.915825,27.26547,754.924,1029.5507,1395.8322,1974.0458,30.91,145.295
223.40997,222.84751,202.89922,206.2548,201.56573,195.60292,0.57229,6.26202,8.22714,14.01524,15.97237,19.73651,0.22623,0.45036,0.72293,0.96964,1.16833,1.3264,2.21398,4.32723,4.19888,5.66243,8.37933,11.34381,35.67983,35.54239,35.41502,35.23091,35.00799,34.79641,21.71742,17.07174,15.10544,13.52856,11.74281,10.05843,24.861568,25.983407,26.32332,26.872637,27.31575,748.89353,961.96267,1347.1443,1947.9743,28.694,121.946
227.83181,217.36161,201.39313,202.39117,197.58845,192.67989,0.98102,6.72867,8.62351,14.39878,16.84045,20.38419,0.20155,0.43514,0.70771,0.83553,1.13362,1.33993,1.77135,3.79694,3.82278,5.31913,8.55697,12.11401,35.57452,35.4505,35.33572,35.16235,34.96482,34.79605,20.7038,16.54842,14.54594,12.98444,11.37574,9.87194,25.036541,26.022602,26.363514,26.898076,27.32858,710.90259,945.51928,1338.6565,1945.8017,27.526,116.819
237.19316,235.54427,232.22708,223.84245,218.81413,215.64993,0.31111,6.91097,10.46821,13.98026,19.15051,20.42286,0.27276,0.55123,0.75477,0.91389,1.16547,1.36152,1.14249,1.79237,3.37508,5.16414,5.76079,7.27821,35.13735,35.21563,35.08599,34.91839,34.75082,34.63026,17.35558,13.04534,11.86899,10.89693,9.70538,8.83822,25.535345,26.585445,26.741325,26.958298,27.35702,700.0181,908.23099,1297.6735,1861.3703,23.126,72.816
